# Sales Data for Q1 2025
Date: 2025-01-13 | ProductID: P760 | Quantity: 14 | TotalSales: $631.60
Date: 2025-01-05 | ProductID: P727 | Quantity: 99 | TotalSales: $3935.63
Date: 2025-01-04 | ProductID: P219 | Quantity: 48 | TotalSales: $1907.28
Date: 2025-03-20 | ProductID: P886 | Quantity: 16 | TotalSales: $285.52
Date: 2025-01-22 | ProductID: P852 | Quantity: 8 | TotalSales: $90.76
Date: 2025-01-25 | ProductID: P964 | Quantity: 100 | TotalSales: $2250.49
Date: 2025-01-21 | ProductID: P107 | Quantity: 25 | TotalSales: $524.93
Date: 2025-03-22 | ProductID: P932 | Quantity: 93 | TotalSales: $2889.93
Date: 2025-01-27 | ProductID: P707 | Quantity: 86 | TotalSales: $1083.31
Date: 2025-02-05 | ProductID: P205 | Quantity: 79 | TotalSales: $1953.21
Date: 2025-01-18 | ProductID: P412 | Quantity: 47 | TotalSales: $1825.01
Date: 2025-01-11 | ProductID: P967 | Quantity: 52 | TotalSales: $1820.33
Date: 2025-02-09 | ProductID: P453 | Quantity: 81 | TotalSales: $3728.23
Date: 2025-02-27 | ProductID: P580 | Quantity: 92 | TotalSales: $3230.20
Date: 2025-03-17 | ProductID: P943 | Quantity: 17 | TotalSales: $352.81
Date: 2025-02-23 | ProductID: P155 | Quantity: 71 | TotalSales: $3106.90
Date: 2025-03-12 | ProductID: P182 | Quantity: 90 | TotalSales: $1228.94
Date: 2025-01-09 | ProductID: P758 | Quantity: 15 | TotalSales: $659.85
Date: 2025-03-20 | ProductID: P287 | Quantity: 84 | TotalSales: $2854.75
Date: 2025-03-16 | ProductID: P211 | Quantity: 70 | TotalSales: $1656.65
Date: 2025-01-13 | ProductID: P162 | Quantity: 75 | TotalSales: $2149.21
Date: 2025-02-16 | ProductID: P119 | Quantity: 57 | TotalSales: $1168.80
Date: 2025-01-30 | ProductID: P380 | Quantity: 21 | TotalSales: $656.83
Date: 2025-02-08 | ProductID: P344 | Quantity: 67 | TotalSales: $2685.57
Date: 2025-02-15 | ProductID: P315 | Quantity: 49 | TotalSales: $911.90
Date: 2025-02-19 | ProductID: P564 | Quantity: 80 | TotalSales: $883.02
Date: 2025-03-24 | ProductID: P273 | Quantity: 4 | TotalSales: $45.07
Date: 2025-01-19 | ProductID: P431 | Quantity: 29 | TotalSales: $858.38
Date: 2025-01-31 | ProductID: P895 | Quantity: 29 | TotalSales: $722.69
Date: 2025-02-27 | ProductID: P343 | Quantity: 93 | TotalSales: $1006.08
Date: 2025-02-22 | ProductID: P907 | Quantity: 93 | TotalSales: $3722.96
Date: 2025-03-08 | ProductID: P221 | Quantity: 20 | TotalSales: $806.34
Date: 2025-02-20 | ProductID: P397 | Quantity: 99 | TotalSales: $4007.33
Date: 2025-01-14 | ProductID: P332 | Quantity: 89 | TotalSales: $3162.17
Date: 2025-01-27 | ProductID: P159 | Quantity: 70 | TotalSales: $1683.54
Date: 2025-02-24 | ProductID: P197 | Quantity: 39 | TotalSales: $1897.07
Date: 2025-01-10 | ProductID: P722 | Quantity: 5 | TotalSales: $87.13
Date: 2025-03-18 | ProductID: P585 | Quantity: 75 | TotalSales: $3732.93
Date: 2025-01-11 | ProductID: P527 | Quantity: 42 | TotalSales: $1124.13
Date: 2025-03-13 | ProductID: P640 | Quantity: 78 | TotalSales: $3885.88
Date: 2025-01-07 | ProductID: P276 | Quantity: 95 | TotalSales: $2055.25
Date: 2025-02-17 | ProductID: P409 | Quantity: 48 | TotalSales: $1195.24
Date: 2025-01-30 | ProductID: P281 | Quantity: 82 | TotalSales: $2088.93
Date: 2025-01-19 | ProductID: P409 | Quantity: 90 | TotalSales: $931.38
Date: 2025-01-12 | ProductID: P129 | Quantity: 76 | TotalSales: $783.02
Date: 2025-01-19 | ProductID: P260 | Quantity: 28 | TotalSales: $914.10
Date: 2025-01-14 | ProductID: P161 | Quantity: 4 | TotalSales: $94.99
Date: 2025-02-18 | ProductID: P611 | Quantity: 80 | TotalSales: $2969.59
Date: 2025-01-19 | ProductID: P347 | Quantity: 87 | TotalSales: $1651.08
Date: 2025-02-17 | ProductID: P123 | Quantity: 18 | TotalSales: $443.21
Date: 2025-02-06 | ProductID: P159 | Quantity: 18 | TotalSales: $618.79
Date: 2025-03-24 | ProductID: P437 | Quantity: 30 | TotalSales: $1049.85
Date: 2025-01-11 | ProductID: P284 | Quantity: 62 | TotalSales: $1550.15
Date: 2025-02-09 | ProductID: P167 | Quantity: 2 | TotalSales: $61.87
Date: 2025-01-19 | ProductID: P171 | Quantity: 54 | TotalSales: $2396.79
Date: 2025-02-13 | ProductID: P228 | Quantity: 47 | TotalSales: $2234.10
Date: 2025-02-20 | ProductID: P492 | Quantity: 91 | TotalSales: $1503.30
Date: 2025-03-29 | ProductID: P924 | Quantity: 24 | TotalSales: $267.85
Date: 2025-01-09 | ProductID: P662 | Quantity: 100 | TotalSales: $1013.75
Date: 2025-01-05 | ProductID: P826 | Quantity: 87 | TotalSales: $3355.34
Date: 2025-02-13 | ProductID: P582 | Quantity: 54 | TotalSales: $1769.87
Date: 2025-02-21 | ProductID: P188 | Quantity: 12 | TotalSales: $349.46
Date: 2025-03-11 | ProductID: P435 | Quantity: 14 | TotalSales: $498.60
Date: 2025-01-01 | ProductID: P496 | Quantity: 32 | TotalSales: $1181.68
Date: 2025-01-20 | ProductID: P876 | Quantity: 63 | TotalSales: $2967.98
